var,size,bit,cluster,ssim
center_rm,9,2,0,0.941732
gy_temp,10,9,0,1
p5_p3,9,8,0,1
center_2,10,6,0,0.301823
center_3,10,9,0,1
p2_p0,9,6,0,0.330149
p5_p3,9,0,0,0.969608
p0_p6,9,0,0,0.984065
center_rm,9,7,0,0.159002
p1_p7,9,8,0,1
gy_2s_comp,11,2,0,0.960402
p0_p6,9,5,0,0.50829
abs_gx,11,3,0,0.944336
gy_temp,10,7,0,0.129496
sum,11,4,0,0.825217
abs_gx,11,7,0,0.980457
gy,11,5,0,0.453166
center_4,10,8,0,0.047889
add_out_2,1,0,0,1
gx_2s_comp,11,0,0,0.98999
gy_comp,11,8,0,1
gy_2s_comp,11,0,0,0.989672
center_1,10,2,0,0.942909
center_2,10,5,0,0.493762
center_4,10,1,0,0.967933
center_tm,9,0,0,0.98398
abs_gx,11,6,0,0.967319
abs_gy,11,3,0,0.913257
gy_comp,11,3,0,0.954196
abs_gy,11,2,0,0.940629
center_1,10,6,0,0.32388
sum,11,3,0,0.858455
center_3,10,5,0,0.49731
gx,11,1,0,0.971923
gx_comp,11,7,0,0.990071
gy_2s_comp,11,10,0,1
p8_p6,9,1,0,0.975122
center_4,10,0,0,0.98398
add_out_4,1,0,0,1
center_2,10,0,0,0.984711
center_tm,9,1,0,0.967933
center_2,10,2,0,0.941732
center_rm,9,0,0,0.984711
p5_p3,9,7,0,0.073164
center_tm,9,4,0,0.698626
gx,11,0,0,0.984711
center_rm,9,4,0,0.716775
gy,11,4,0,0.666207
p5_p3,9,5,0,0.32388
gx,11,7,0,0.143911
center_4,10,4,0,0.698626
center_rm,9,8,0,0.061708
sum,11,7,0,0.87493
gy_2s_comp,11,1,0,0.98037
gy,11,10,0,1
center_1,10,8,0,0.073164
gy_comp,11,5,0,0.971426
center_tm,9,8,0,0.047889
gx_temp,10,9,0,1
gy_temp,10,0,0,0.98398
center_1,10,1,0,0.969608
p0_p6,9,7,0,0.159914
center_1,10,5,0,0.527862
p0_p6,9,1,0,0.970486
p8_p6,9,0,0,0.98528
center_rm,9,1,0,0.970497
abs_gy,11,5,0,0.948834
gx_comp,11,3,0,0.974513
p2_p8,9,5,0,0.507724
center_2,10,7,0,0.159002
p0_p6,9,4,0,0.727123
p0_p6,9,2,0,0.943524
abs_gy,11,4,0,0.924529
p2_p8,9,0,0,0.983897
center_3,10,0,0,1
center_3,10,8,0,0.055822
p1_p7,9,4,0,0.49731
center_3,10,2,0,0.930689
gy_comp,11,7,0,0.987526
sum,11,0,0,1
center_tm,9,7,0,0.151684
gx_temp,10,0,0,0.984711
p2_p0,9,0,0,0.985188
gx_2s_comp,11,2,0,0.96793
center_tm,9,2,0,0.932161
p1_p7,9,5,0,0.304666
abs_gx,11,2,0,0.950995
p1_p7,9,1,0,0.930689
center_tm,9,3,0,0.85574
gy,11,3,0,0.832275
p2_p8,9,4,0,0.72654
sum,11,1,0,0.972544
gy_2s_comp,11,9,0,1
gy_comp,11,6,0,0.979031
p0_p6,9,8,0,0.056601
p5_p3,9,4,0,0.527862
p1_p7,9,6,0,0.159476
center_1,10,7,0,0.171955
gx_comp,11,9,0,1
center_3,10,4,0,0.713439
center_1,10,3,0,0.885307
p2_p8,9,2,0,0.943519
gy_comp,11,4,0,0.961593
sum,11,2,0,0.921741
center_2,10,3,0,0.873159
center_3,10,1,0,0.966726
abs_gy,11,10,0,1
p2_p0,9,1,0,0.97448
p0_p6,9,3,0,0.876334
p8_p6,9,2,0,0.953057
gx_comp,11,4,0,0.984491
center_4,10,9,0,1
abs_gx,11,8,0,0.999951
gy_2s_comp,11,8,0,0.999774
abs_gx,11,0,0,0.98685
gy_temp,10,3,0,0.832275
p2_p0,9,8,0,0.076021
gx_comp,11,0,0,0.990855
sum,11,10,0,1
abs_gx,11,5,0,0.971279
p5_p3,9,1,0,0.942909
gx_2s_comp,11,5,0,0.984934
gy_temp,10,2,0,0.927763
center_2,10,1,0,0.970497
center_3,10,3,0,0.859481
abs_gx,11,4,0,0.967086
gx_comp,11,1,0,0.982056
p5_p3,9,2,0,0.885307
gx_temp,10,3,0,0.850661
p8_p6,9,7,0,0.170011
add_out_3,1,0,0,1
sum,11,8,0,0.980617
abs_gy,11,1,0,0.97304
center_rm,9,6,0,0.301823
center_tm,9,5,0,0.479748
p1_p7,9,7,0,0.055822
center_rm,9,3,0,0.873159
gy_2s_comp,11,4,0,0.955514
gy_temp,10,1,0,0.970701
gy_comp,11,9,0,1
gy_2s_comp,11,6,0,0.978316
center_4,10,2,0,0.932161
gx_2s_comp,11,1,0,0.98181
gx_temp,10,6,0,0.277037
center_3,10,7,0,0.159476
center_rm,9,5,0,0.493762
p8_p6,9,3,0,0.89131
gx,11,6,0,0.277037
center_4,10,5,0,0.479748
p0_p6,9,6,0,0.312697
p2_p8,9,7,0,0.158655
p5_p3,9,6,0,0.171955
gx_comp,11,6,0,0.98485
gy,11,9,0,1
abs_gx,11,9,0,1
p2_p8,9,8,0,0.054368
gx_2s_comp,11,3,0,0.965337
gx_temp,10,8,0,0.056625
abs_gy,11,9,0,1
p2_p0,9,4,0,0.752926
gx,11,8,0,0.056625
sum,11,5,0,0.878001
gx_2s_comp,11,6,0,0.984387
gy_2s_comp,11,5,0,0.969219
p8_p6,9,5,0,0.526821
gy,11,8,0,0.046048
center_3,10,6,0,0.304666
gx_comp,11,5,0,0.986016
p2_p8,9,3,0,0.876319
gy_2s_comp,11,3,0,0.944888
sum,11,9,0,1
gy,11,1,0,0.970701
gx_temp,10,7,0,0.143911
gx_temp,10,4,0,0.694152
add_out_1,1,0,0,1
gy,11,7,0,0.129496
p2_p0,9,3,0,0.892519
gy,11,0,0,0.98398
gx_2s_comp,11,4,0,0.9816
p1_p7,9,0,0,0.966726
gx_temp,10,2,0,0.931869
p1_p7,9,3,0,0.713439
p2_p0,9,5,0,0.534927
center_4,10,3,0,0.85574
gy_comp,11,10,0,1
gy,11,6,0,0.266095
gx_2s_comp,11,8,0,0.999951
p8_p6,9,8,0,0.071791
p2_p0,9,7,0,0.175663
center_2,10,8,0,0.061708
abs_gy,11,8,0,0.999774
gx,11,3,0,0.850661
center_1,10,4,0,0.746232
gx,11,2,0,0.931869
abs_gy,11,6,0,0.9573
sum,11,6,0,0.886667
gx,11,10,0,1
gx_temp,10,5,0,0.470877
p2_p8,9,1,0,0.970618
gx,11,9,0,1
abs_gy,11,0,0,0.98685
p8_p6,9,4,0,0.748319
p5_p3,9,3,0,0.746232
gx_2s_comp,11,7,0,0.989707
abs_gx,11,1,0,0.974349
gx_2s_comp,11,10,0,1
gx_temp,10,1,0,0.971923
abs_gx,11,10,0,1
gx_2s_comp,11,9,0,1
gy_comp,11,0,0,0.990158
gy_temp,10,6,0,0.266095
gy,11,2,0,0.927763
abs_gy,11,7,0,0.969966
gy_comp,11,1,0,0.978933
gy_temp,10,5,0,0.453166
p2_p8,9,6,0,0.3119
gx,11,5,0,0.470877
gy_temp,10,8,0,0.046048
p2_p0,9,2,0,0.952786
gy_temp,10,4,0,0.666207
p8_p6,9,6,0,0.322426
gy_comp,11,2,0,0.968079
center_2,10,9,0,1
gx,11,4,0,0.694152
center_1,10,0,0,1
p1_p7,9,2,0,0.859481
gx_comp,11,8,0,1
center_1,10,9,0,1
gx_comp,11,10,0,1
gy_2s_comp,11,7,0,0.987221
center_tm,9,6,0,0.293046
center_4,10,7,0,0.151684
center_2,10,4,0,0.716775
gx_comp,11,2,0,0.974907
center_4,10,6,0,0.293046
