,sum,11,9,0,1.000000,
,sum,11,10,0,1.000000,
,sum,11,0,0,1.000000,
,p5_p3,9,8,0,1.000000,
,p1_p7,9,8,0,1.000000,
,gy_temp,10,9,0,1.000000,
,gy_comp,11,9,0,1.000000,
,gy_comp,11,8,0,1.000000,
,gy_comp,11,10,0,1.000000,
,gy_2s_comp,11,9,0,1.000000,
,gy_2s_comp,11,10,0,1.000000,
,gy,11,9,0,1.000000,
,gy,11,10,0,1.000000,
,gx_temp,10,9,0,1.000000,
,gx_comp,11,9,0,1.000000,
,gx_comp,11,8,0,1.000000,
,gx_comp,11,10,0,1.000000,
,gx_2s_comp,11,9,0,1.000000,
,gx_2s_comp,11,10,0,1.000000,
,gx,11,9,0,1.000000,
,gx,11,10,0,1.000000,
,center_tm,9,9,0,1.000000,
,center_rm,9,9,0,1.000000,
,center_4,10,9,0,1.000000,
,center_3,10,9,0,1.000000,
,center_3,10,0,0,1.000000,
,center_2,10,9,0,1.000000,
,center_1,10,9,0,1.000000,
,center_1,10,0,0,1.000000,
,add_out_4,1,0,0,1.000000,
,add_out_3,1,0,0,1.000000,
,add_out_2,1,0,0,1.000000,
,add_out_1,1,0,0,1.000000,
,abs_gy,11,9,0,1.000000,
,abs_gy,11,10,0,1.000000,
,abs_gx,11,9,0,1.000000,
,abs_gx,11,10,0,1.000000,
,gx_2s_comp,11,8,0,0.999951,
,abs_gx,11,8,0,0.999951,
,gy_2s_comp,11,8,0,0.999774,
,abs_gy,11,8,0,0.999774,
,gx_comp,11,0,0,0.990855,
,gy_comp,11,0,0,0.990158,
,gx_comp,11,7,0,0.990071,
,gx_2s_comp,11,0,0,0.989990,
,gx_2s_comp,11,7,0,0.989707,
,gy_2s_comp,11,0,0,0.989672,
,gy_comp,11,7,0,0.987526,
,gy_2s_comp,11,7,0,0.987221,
,abs_gy,11,0,0,0.986850,
,abs_gx,11,0,0,0.986850,
,gx_comp,11,5,0,0.986016,
,p8_p6,9,0,0,0.985280,
,p2_p0,9,0,0,0.985188,
,gx_2s_comp,11,5,0,0.984934,
,gx_comp,11,6,0,0.984850,
,gx_temp,10,0,0,0.984711,
,gx,11,0,0,0.984711,
,center_rm,9,0,0,0.984711,
,center_2,10,0,0,0.984711,
,gx_comp,11,4,0,0.984491,
,gx_2s_comp,11,6,0,0.984387,
,p0_p6,9,0,0,0.984065,
,gy_temp,10,0,0,0.983980,
,gy,11,0,0,0.983980,
,center_tm,9,0,0,0.983980,
,center_4,10,0,0,0.983980,
,p2_p8,9,0,0,0.983897,
,gx_comp,11,1,0,0.982056,
,gx_2s_comp,11,1,0,0.981810,
,gx_2s_comp,11,4,0,0.981600,
,sum,11,8,0,0.980617,
,abs_gx,11,7,0,0.980457,
,gy_2s_comp,11,1,0,0.980370,
,gy_comp,11,6,0,0.979031,
,gy_comp,11,1,0,0.978933,
,gy_2s_comp,11,6,0,0.978316,
,p8_p6,9,1,0,0.975122,
,gx_comp,11,2,0,0.974907,
,gx_comp,11,3,0,0.974513,
,p2_p0,9,1,0,0.974480,
,abs_gx,11,1,0,0.974349,
,abs_gy,11,1,0,0.973040,
,sum,11,1,0,0.972544,
,gx_temp,10,1,0,0.971923,
,gx,11,1,0,0.971923,
,gy_comp,11,5,0,0.971426,
,abs_gx,11,5,0,0.971279,
,gy_temp,10,1,0,0.970701,
,gy,11,1,0,0.970701,
,p2_p8,9,1,0,0.970618,
,center_rm,9,1,0,0.970497,
,center_2,10,1,0,0.970497,
,p0_p6,9,1,0,0.970486,
,abs_gy,11,7,0,0.969966,
,p5_p3,9,0,0,0.969608,
,center_1,10,1,0,0.969608,
,gy_2s_comp,11,5,0,0.969219,
,gy_comp,11,2,0,0.968079,
,center_tm,9,1,0,0.967933,
,center_4,10,1,0,0.967933,
,gx_2s_comp,11,2,0,0.967930,
,abs_gx,11,6,0,0.967319,
,abs_gx,11,4,0,0.967086,
,p1_p7,9,0,0,0.966726,
,center_3,10,1,0,0.966726,
,gx_2s_comp,11,3,0,0.965337,
,gy_comp,11,4,0,0.961593,
,gy_2s_comp,11,2,0,0.960402,
,abs_gy,11,6,0,0.957300,
,gy_2s_comp,11,4,0,0.955514,
,gy_comp,11,3,0,0.954196,
,p8_p6,9,2,0,0.953057,
,p2_p0,9,2,0,0.952786,
,abs_gx,11,2,0,0.950995,
,abs_gy,11,5,0,0.948834,
,gy_2s_comp,11,3,0,0.944888,
,abs_gx,11,3,0,0.944336,
,p0_p6,9,2,0,0.943524,
,p2_p8,9,2,0,0.943519,
,p5_p3,9,1,0,0.942909,
,center_1,10,2,0,0.942909,
,center_rm,9,2,0,0.941732,
,center_2,10,2,0,0.941732,
,abs_gy,11,2,0,0.940629,
,center_tm,9,2,0,0.932161,
,center_4,10,2,0,0.932161,
,gx_temp,10,2,0,0.931869,
,gx,11,2,0,0.931869,
,p1_p7,9,1,0,0.930689,
,center_3,10,2,0,0.930689,
,gy_temp,10,2,0,0.927763,
,gy,11,2,0,0.927763,
,abs_gy,11,4,0,0.924529,
,sum,11,2,0,0.921741,
,abs_gy,11,3,0,0.913257,
,p2_p0,9,3,0,0.892519,
,p8_p6,9,3,0,0.891310,
,sum,11,6,0,0.886667,
,p5_p3,9,2,0,0.885307,
,center_1,10,3,0,0.885307,
,sum,11,5,0,0.878001,
,p0_p6,9,3,0,0.876334,
,p2_p8,9,3,0,0.876319,
,sum,11,7,0,0.874930,
,center_rm,9,3,0,0.873159,
,center_2,10,3,0,0.873159,
,p1_p7,9,2,0,0.859481,
,center_3,10,3,0,0.859481,
,sum,11,3,0,0.858455,
,center_tm,9,3,0,0.855740,
,center_4,10,3,0,0.855740,
,gx_temp,10,3,0,0.850661,
,gx,11,3,0,0.850661,
,gy_temp,10,3,0,0.832275,
,gy,11,3,0,0.832275,
,sum,11,4,0,0.825217,
,p2_p0,9,4,0,0.752926,
,p8_p6,9,4,0,0.748319,
,p5_p3,9,3,0,0.746232,
,center_1,10,4,0,0.746232,
,p0_p6,9,4,0,0.727123,
,p2_p8,9,4,0,0.726540,
,center_rm,9,4,0,0.716775,
,center_2,10,4,0,0.716775,
,p1_p7,9,3,0,0.713439,
,center_3,10,4,0,0.713439,
,center_tm,9,4,0,0.698626,
,center_4,10,4,0,0.698626,
,gx_temp,10,4,0,0.694152,
,gx,11,4,0,0.694152,
,gy_temp,10,4,0,0.666207,
,gy,11,4,0,0.666207,
,p2_p0,9,5,0,0.534927,
,p5_p3,9,4,0,0.527862,
,center_1,10,5,0,0.527862,
,p8_p6,9,5,0,0.526821,
,p0_p6,9,5,0,0.508290,
,p2_p8,9,5,0,0.507724,
,p1_p7,9,4,0,0.497310,
,center_3,10,5,0,0.497310,
,center_rm,9,5,0,0.493762,
,center_2,10,5,0,0.493762,
,center_tm,9,5,0,0.479748,
,center_4,10,5,0,0.479748,
,gx_temp,10,5,0,0.470877,
,gx,11,5,0,0.470877,
,gy_temp,10,5,0,0.453166,
,gy,11,5,0,0.453166,
,p2_p0,9,6,0,0.330149,
,p5_p3,9,5,0,0.323880,
,center_1,10,6,0,0.323880,
,p8_p6,9,6,0,0.322426,
,p0_p6,9,6,0,0.312697,
,p2_p8,9,6,0,0.311900,
,p1_p7,9,5,0,0.304666,
,center_3,10,6,0,0.304666,
,center_rm,9,6,0,0.301823,
,center_2,10,6,0,0.301823,
,center_tm,9,6,0,0.293046,
,center_4,10,6,0,0.293046,
,gx_temp,10,6,0,0.277037,
,gx,11,6,0,0.277037,
,gy_temp,10,6,0,0.266095,
,gy,11,6,0,0.266095,
,p2_p0,9,7,0,0.175663,
,p5_p3,9,6,0,0.171955,
,center_1,10,7,0,0.171955,
,p8_p6,9,7,0,0.170011,
,p0_p6,9,7,0,0.159914,
,p1_p7,9,6,0,0.159476,
,center_3,10,7,0,0.159476,
,center_rm,9,7,0,0.159002,
,center_2,10,7,0,0.159002,
,p2_p8,9,7,0,0.158655,
,center_tm,9,7,0,0.151684,
,center_4,10,7,0,0.151684,
,gx_temp,10,7,0,0.143911,
,gx,11,7,0,0.143911,
,gy_temp,10,7,0,0.129496,
,gy,11,7,0,0.129496,
,p2_p0,9,8,0,0.076021,
,p5_p3,9,7,0,0.073164,
,center_1,10,8,0,0.073164,
,p8_p6,9,8,0,0.071791,
,center_rm,9,8,0,0.061708,
,center_2,10,8,0,0.061708,
,gx_temp,10,8,0,0.056625,
,gx,11,8,0,0.056625,
,p0_p6,9,8,0,0.056601,
,p1_p7,9,7,0,0.055822,
,center_3,10,8,0,0.055822,
,p2_p8,9,8,0,0.054368,
,center_tm,9,8,0,0.047889,
,center_4,10,8,0,0.047889,
,gy_temp,10,8,0,0.046048,
,gy,11,8,0,0.046048,
