gy[8];0.046047528
gy_temp[8];0.046047528
center_4[8];0.047889054
center_tm[8];0.047889054
p2_p8[8];0.054367541
center_3[8];0.05582216
p1_p7[7];0.05582216
p0_p6[8];0.05660101
gx_temp[8];0.056624823
gx[8];0.056624823
center_rm[8];0.061707758
center_2[8];0.061707758
p8_p6[8];0.071791222
center_1[8];0.073163995
p5_p3[7];0.073163995
p2_p0[8];0.076021101
gy[7];0.129496165
gy_temp[7];0.129496165
gx[7];0.143911349
gx_temp[7];0.143911349
center_4[7];0.151684251
center_tm[7];0.151684251
p2_p8[7];0.158655106
center_rm[7];0.15900229
center_2[7];0.15900229
center_3[7];0.159475944
p1_p7[6];0.159475944
p0_p6[7];0.159914095
p8_p6[7];0.170011171
center_1[7];0.171954646
p5_p3[6];0.171954646
p2_p0[7];0.175663199
gy[6];0.266095311
gy_temp[6];0.266095311
gx[6];0.277036907
gx_temp[6];0.277036907
center_4[6];0.293046201
center_tm[6];0.293046201
center_rm[6];0.3018233
center_2[6];0.3018233
center_3[6];0.304666151
p1_p7[5];0.304666151
p2_p8[6];0.311900231
p0_p6[6];0.312696525
p8_p6[6];0.322425664
center_1[6];0.323879828
p5_p3[5];0.323879828
p2_p0[6];0.330148687
gy[5];0.453166319
gy_temp[5];0.453166319
gx[5];0.470877099
gx_temp[5];0.470877099
center_4[5];0.479748003
center_tm[5];0.479748003
center_2[5];0.493761568
center_rm[5];0.493761568
p1_p7[4];0.497310357
center_3[5];0.497310357
p2_p8[5];0.507723993
p0_p6[5];0.508290242
p8_p6[5];0.526821398
center_1[5];0.527861961
p5_p3[4];0.527861961
p2_p0[5];0.534927444
gy_temp[4];0.666206569
gy[4];0.666206569
gx[4];0.694152413
gx_temp[4];0.694152413
center_4[4];0.698625755
center_tm[4];0.698625755
p1_p7[3];0.713438739
center_3[4];0.713438739
center_2[4];0.716774568
center_rm[4];0.716774568
p2_p8[4];0.726540067
p0_p6[4];0.727123169
center_1[4];0.746232058
p5_p3[3];0.746232058
p8_p6[4];0.748319106
p2_p0[4];0.752926451
sum[4];0.825217175
gy[3];0.832275173
gy_temp[3];0.832275173
gx[3];0.850661075
gx_temp[3];0.850661075
center_4[3];0.855740494
center_tm[3];0.855740494
sum[3];0.858455362
p1_p7[2];0.85948098
center_3[3];0.85948098
center_rm[3];0.873158665
center_2[3];0.873158665
sum[7];0.874929691
p2_p8[3];0.876318574
p0_p6[3];0.876334011
sum[5];0.878000697
p5_p3[2];0.885307344
center_1[3];0.885307344
sum[6];0.886667449
p8_p6[3];0.891310393
p2_p0[3];0.892519496
abs_gy[3];0.91325674
sum[2];0.921740559
abs_gy[4];0.924529221
gy[2];0.92776251
gy_temp[2];0.92776251
p1_p7[1];0.930689441
center_3[2];0.930689441
gx[2];0.931869498
gx_temp[2];0.931869498
center_4[2];0.932160908
center_tm[2];0.932160908
abs_gy[2];0.940629261
center_rm[2];0.941732109
center_2[2];0.941732109
center_1[2];0.942908869
p5_p3[1];0.942908869
p2_p8[2];0.943518822
p0_p6[2];0.943524379
abs_gx[3];0.944335915
gy_2s_comp[3];0.944887645
abs_gy[5];0.948834264
abs_gx[2];0.95099473
p2_p0[2];0.95278565
p8_p6[2];0.953056571
gy_comp[3];0.954196458
gy_2s_comp[4];0.955513627
abs_gy[6];0.957300301
gy_2s_comp[2];0.960401767
gy_comp[4];0.961593024
gx_2s_comp[3];0.965336831
p1_p7[0];0.96672586
center_3[1];0.96672586
abs_gx[4];0.967086006
abs_gx[6];0.967319217
gx_2s_comp[2];0.967930299
center_4[1];0.96793314
center_tm[1];0.96793314
gy_comp[2];0.968079106
gy_2s_comp[5];0.969219435
center_1[1];0.969608377
p5_p3[0];0.969608377
abs_gy[7];0.96996614
p0_p6[1];0.970486173
center_2[1];0.970497035
center_rm[1];0.970497035
p2_p8[1];0.970617693
gy[1];0.970700841
gy_temp[1];0.970700841
abs_gx[5];0.971279098
gy_comp[5];0.971425974
gx[1];0.971923381
gx_temp[1];0.971923381
sum[1];0.972543873
abs_gy[1];0.973040037
abs_gx[1];0.974348681
p2_p0[1];0.97447963
gx_comp[3];0.974513282
gx_comp[2];0.974906975
p8_p6[1];0.975121941
gy_2s_comp[6];0.97831638
gy_comp[1];0.978932913
gy_comp[6];0.979030824
gy_2s_comp[1];0.980370105
abs_gx[7];0.9804573
sum[8];0.980617103
gx_2s_comp[4];0.981599939
gx_2s_comp[1];0.981809729
gx_comp[1];0.982055672
p2_p8[0];0.983897015
center_4[0];0.983979832
gy[0];0.983979832
gy_temp[0];0.983979832
center_tm[0];0.983979832
p0_p6[0];0.984064906
gx_2s_comp[6];0.984386827
gx_comp[4];0.98449102
center_2[0];0.984711189
gx[0];0.984711189
center_rm[0];0.984711189
gx_temp[0];0.984711189
gx_comp[6];0.98484972
gx_2s_comp[5];0.984933986
p2_p0[0];0.98518801
p8_p6[0];0.985280433
gx_comp[5];0.98601561
abs_gx[0];0.986850179
abs_gy[0];0.986850179
gy_2s_comp[7];0.987220718
gy_comp[7];0.987526439
gy_2s_comp[0];0.989672035
gx_2s_comp[7];0.989706737
gx_2s_comp[0];0.989989558
gx_comp[7];0.990071416
gy_comp[0];0.990158273
gx_comp[0];0.990855051
gy_2s_comp[8];0.999774189
abs_gy[8];0.999774189
gx_2s_comp[8];0.999950644
abs_gx[8];0.999950644
center_4[9];1
gx_2s_comp[10];1
gx_comp[10];1
center_3[0];1
gx_comp[9];1
gx[10];1
gx_2s_comp[9];1
center_3[9];1
center_1[0];1
gx[9];1
gy_2s_comp[9];1
gy_comp[8];1
gx_comp[8];1
center_2[9];1
gx_temp[9];1
gy_comp[9];1
p1_p7[8];1
gy[9];1
p5_p3[8];1
abs_gx[9];1
center_1[9];1
gy_comp[10];1
gy_temp[9];1
gy[10];1
sum[10];1
gy_2s_comp[10];1
sum[9];1
abs_gx[10];1
sum[0];1
abs_gx[11];1
abs_gy[10];1
abs_gy[11];1
abs_gy[9];1
add_1[0];1
add_1[1];1
add_2[0];1
add_2[1];1
add_3[0];1
add_3[1];1
add_4[0];1
add_4[1];1
center_1[10];1
center_2[10];1
center_3[10];1
center_4[10];1
center_rm[10];1
center_rm[9];1
center_tm[10];1
center_tm[9];1
gx[11];1
gx_2s_comp[11];1
gx_comp[11];1
gx_temp[10];1
gy[11];1
gy_2s_comp[11];1
gy_comp[11];1
gy_temp[10];1
p0_p6[9];1
p1_p7[9];1
p2_p0[9];1
p2_p8[9];1
p5_p3[9];1
p8_p6[9];1
sum[11];1
